state,x,y
Andhra Pradesh,-94,-192
Arunachal Pradesh,237,114
Assam,208,75
Bihar,57,55
Chattisgarh,-24,-32
Goa,-181,-182
Gujarat,-253,-11
Haryana,-139,142
Himachal Pradesh,-129,211
Jammu & Kashmir,-160,271
Jharkhand,39,12
Karnataka,-165,-209
Kerala,-133,-289
Madhya Pradesh,-137,-9
Maharashtra,-193,-93
Manipur,239,27
Meghalaya,172,48
Mizoram,220,-3
Nagaland,262,67
Orissa,23,-63
Punjab,-149,179
Rajasthan,-225,82
Sikkim,124,99
Tamil Nadu,-113,-280
Telangana,-99,-134
Tripura,194,7
Uttar Pradesh,-79,92
Uttarakhand,-80,168
West Bengal,96,-7
